,brewery_name,address,brewery_page_url,list_order,page_num
143,Real Ale Brewing Company,"231 San Saba Court Blanco TX 78606, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952669c86f7de94967b0,,1
144,Rebel Toad Brewing Co.,"425 William St Corpus Christi TX 78401, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952669c86f7de94967b1,,1
145,Reck 'Em Right Brewing Company,"102 South Avenue G Johnson City TX 78636, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952869c86f7de949681b,,1
146,Red Horn Coffee House and Brewing Co.,"13010 West Parmer Lane, Ste. 800 Cedar Park TX 78613, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952669c86f7de94967c0,,1
147,Roadmap Brewing Co.,"723 N. Alamo St San Antonio TX 78215, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952869c86f7de9496831,,1
148,"Rough Diamond Brewery, LLC","101 Kendalia Circle Spring Branch TX 78070, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952569c86f7de9496787,,1
149,"Roughhouse Brewing, LLC","612 Oakwood Loop San Marcos TX 78666, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952869c86f7de949681f,,1
150,Rusty Gate Brewery/ Rusty Gate Brewing Co.,"112 Buckeye Lane Trinity TX 75862, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952669c86f7de94967b2,,1
151,Saint Arnold Brewing Company,"2000 Lyons Avenue Houston TX 77020, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952469c86f7de949677a,,1
152,"San Gabriel River Brewery, Inc","500 Chaparral Dr Liberty Hill TX 78642, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952769c86f7de94967dc,,1
153,Savage Brew Lab,"800 S. Bryan Ave Bryan TX 77803, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/60d22c8de5482a1863104ae6,,1
154,Second Pitch Beer Company,"11935 Starcrest Dr. San Antonio TX 78247, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952869c86f7de949681d,,1
155,Siren Rock Brewing Company,"310 South Goliad Street Rockwall TX 75087, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952869c86f7de949683b,,1
156,Soul Fire Brewing Co.,"206 N. Oak St. Roanoke TX 76262, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952869c86f7de949682c,,1
157,Southerleigh Fine Food and Brewery,"136 East Grayson St. San Antonio TX 78215, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952669c86f7de94967cc,,1
158,Southern Heights Brewing Co,"6014 Techni Center Dr ste 2-101 Austin TX 78721, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952669c86f7de94967b4,,1
